Week,deep learning: (Worldwide)
2016-12-04,65
2016-12-11,61
2016-12-18,57
2016-12-25,47
2017-01-01,62
2017-01-08,67
2017-01-15,66
2017-01-22,66
2017-01-29,65
2017-02-05,68
2017-02-12,68
2017-02-19,72
2017-02-26,69
2017-03-05,72
2017-03-12,75
2017-03-19,74
2017-03-26,74
2017-04-02,74
2017-04-09,76
2017-04-16,75
2017-04-23,78
2017-04-30,71
2017-05-07,80
2017-05-14,77
2017-05-21,76
2017-05-28,74
2017-06-04,76
2017-06-11,75
2017-06-18,80
2017-06-25,77
2017-07-02,71
2017-07-09,75
2017-07-16,77
2017-07-23,78
2017-07-30,74
2017-08-06,81
2017-08-13,79
2017-08-20,79
2017-08-27,77
2017-09-03,84
2017-09-10,86
2017-09-17,86
2017-09-24,88
2017-10-01,82
2017-10-08,86
2017-10-15,92
2017-10-22,88
2017-10-29,91
2017-11-05,97
2017-11-12,97
2017-11-19,87
2017-11-26,100
