Week,Internet of things: (Worldwide)
2012-12-02,10
2012-12-09,9
2012-12-16,8
2012-12-23,7
2012-12-30,7
2013-01-06,10
2013-01-13,9
2013-01-20,10
2013-01-27,9
2013-02-03,8
2013-02-10,8
2013-02-17,10
2013-02-24,10
2013-03-03,11
2013-03-10,11
2013-03-17,11
2013-03-24,10
2013-03-31,9
2013-04-07,10
2013-04-14,10
2013-04-21,11
2013-04-28,10
2013-05-05,10
2013-05-12,10
2013-05-19,10
2013-05-26,12
2013-06-02,11
2013-06-09,10
2013-06-16,12
2013-06-23,12
2013-06-30,11
2013-07-07,11
2013-07-14,10
2013-07-21,10
2013-07-28,10
2013-08-04,9
2013-08-11,10
2013-08-18,10
2013-08-25,10
2013-09-01,11
2013-09-08,11
2013-09-15,11
2013-09-22,12
2013-09-29,11
2013-10-06,13
2013-10-13,13
2013-10-20,12
2013-10-27,14
2013-11-03,13
2013-11-10,15
2013-11-17,14
2013-11-24,13
2013-12-01,13
2013-12-08,14
2013-12-15,14
2013-12-22,10
2013-12-29,10
2014-01-05,18
2014-01-12,21
2014-01-19,19
2014-01-26,16
2014-02-02,16
2014-02-09,17
2014-02-16,18
2014-02-23,19
2014-03-02,18
2014-03-09,21
2014-03-16,20
2014-03-23,22
2014-03-30,24
2014-04-06,23
2014-04-13,22
2014-04-20,22
2014-04-27,20
2014-05-04,21
2014-05-11,23
2014-05-18,25
2014-05-25,25
2014-06-01,26
2014-06-08,23
2014-06-15,22
2014-06-22,22
2014-06-29,23
2014-07-06,24
2014-07-13,24
2014-07-20,23
2014-07-27,23
2014-08-03,23
2014-08-10,23
2014-08-17,25
2014-08-24,24
2014-08-31,25
2014-09-07,26
2014-09-14,29
2014-09-21,29
2014-09-28,29
2014-10-05,31
2014-10-12,33
2014-10-19,31
2014-10-26,31
2014-11-02,32
2014-11-09,31
2014-11-16,34
2014-11-23,30
2014-11-30,31
2014-12-07,33
2014-12-14,31
2014-12-21,22
2014-12-28,21
2015-01-04,43
2015-01-11,41
2015-01-18,40
2015-01-25,39
2015-02-01,40
2015-02-08,38
2015-02-15,35
2015-02-22,39
2015-03-01,42
2015-03-08,42
2015-03-15,42
2015-03-22,43
2015-03-29,44
2015-04-05,45
2015-04-12,46
2015-04-19,44
2015-04-26,43
2015-05-03,43
2015-05-10,51
2015-05-17,51
2015-05-24,52
2015-05-31,53
2015-06-07,54
2015-06-14,48
2015-06-21,48
2015-06-28,46
2015-07-05,46
2015-07-12,44
2015-07-19,46
2015-07-26,49
2015-08-02,47
2015-08-09,45
2015-08-16,50
2015-08-23,48
2015-08-30,52
2015-09-06,54
2015-09-13,57
2015-09-20,54
2015-09-27,59
2015-10-04,60
2015-10-11,58
2015-10-18,58
2015-10-25,63
2015-11-01,61
2015-11-08,59
2015-11-15,61
2015-11-22,57
2015-11-29,62
2015-12-06,60
2015-12-13,59
2015-12-20,48
2015-12-27,40
2016-01-03,60
2016-01-10,56
2016-01-17,63
2016-01-24,63
2016-01-31,64
2016-02-07,61
2016-02-14,66
2016-02-21,68
2016-02-28,67
2016-03-06,68
2016-03-13,68
2016-03-20,63
2016-03-27,68
2016-04-03,71
2016-04-10,71
2016-04-17,74
2016-04-24,71
2016-05-01,63
2016-05-08,78
2016-05-15,76
2016-05-22,72
2016-05-29,74
2016-06-05,72
2016-06-12,70
2016-06-19,69
2016-06-26,66
2016-07-03,65
2016-07-10,63
2016-07-17,74
2016-07-24,66
2016-07-31,67
2016-08-07,64
2016-08-14,63
2016-08-21,73
2016-08-28,74
2016-09-04,74
2016-09-11,76
2016-09-18,78
2016-09-25,83
2016-10-02,86
2016-10-09,84
2016-10-16,93
2016-10-23,100
2016-10-30,89
2016-11-06,88
2016-11-13,94
2016-11-20,80
2016-11-27,84
2016-12-04,84
2016-12-11,81
2016-12-18,77
2016-12-25,63
2017-01-01,77
2017-01-08,83
2017-01-15,82
2017-01-22,81
2017-01-29,81
2017-02-05,85
2017-02-12,83
2017-02-19,86
2017-02-26,88
2017-03-05,91
2017-03-12,90
2017-03-19,88
2017-03-26,88
2017-04-02,86
2017-04-09,85
2017-04-16,86
2017-04-23,87
2017-04-30,75
2017-05-07,91
2017-05-14,90
2017-05-21,86
2017-05-28,81
2017-06-04,82
2017-06-11,84
2017-06-18,81
2017-06-25,76
2017-07-02,78
2017-07-09,80
2017-07-16,81
2017-07-23,79
2017-07-30,79
2017-08-06,75
2017-08-13,70
2017-08-20,77
2017-08-27,79
2017-09-03,84
2017-09-10,89
2017-09-17,84
2017-09-24,87
2017-10-01,86
2017-10-08,91
2017-10-15,88
2017-10-22,91
2017-10-29,87
2017-11-05,95
2017-11-12,94
2017-11-19,86
2017-11-26,72
